x,y,z
0.64,0.7,-0.23
0.63,0.7,0.5
1.27,1.36,0.99
2.13,0.96,1.18
1.62,1.53,0.41
0.48,1.78,1.19
3.13,0.77,0.37
1.84,1.33,1.58
2.81,2.19,0.34
1.72,1.56,1.43
1.66,1.41,1.17
1.45,2.27,0.61
1.18,0.86,0.72
1.35,0.6,1.53
2.2,2.2,0.44
0.66,1.96,0.84
2.04,2.0,0.88
1.94,2.25,0.71
1.12,2.03,0.62
0.36,1.08,0.68
3.4,1.64,1.06
3.21,0.66,1.6
2.52,2.1,1.16
3.24,1.92,1.45
1.52,2.08,0.75
1.45,2.2,1.4
2.26,1.81,1.29
1.61,1.47,1.65
2.66,1.93,1.1
3.08,1.31,0.31
2.56,2.19,0.47
0.53,1.28,1.01
2.14,1.81,0.91
1.29,1.59,0.92
1.65,0.97,1.42
0.8,2.18,0.68
2.18,0.7,1.38
3.3,0.91,1.19
2.17,1.42,1.1
2.0,2.05,1.05
3.19,1.52,0.62
0.74,2.21,0.98
