x_estimate,y_estimate,z_estimate,battery_voltage
0.52,0.61,0.04,3.98533749580383
0.53,0.62,0.03,3.99061608314514
0.53,0.62,0.03,3.99061608314514
0.53,0.62,0.03,3.99061608314514
0.53,0.62,0.04,3.99061608314514
0.53,0.62,0.04,3.98533749580383
0.53,0.62,0.03,3.98533749580383
0.53,0.63,0.03,3.98005890846252
0.52,0.62,0.03,3.98533749580383
0.52,0.62,0.03,3.98533749580383
0.52,0.62,0.03,3.98533749580383
0.53,0.61,0.04,3.99061608314514
0.53,0.62,0.03,3.98533749580383
0.53,0.61,0.04,3.99061608314514
0.53,0.61,0.04,3.98533749580383
0.53,0.61,0.04,3.98005890846252
0.54,0.62,0.03,3.98005890846252
0.53,0.62,0.03,3.98005890846252
0.53,0.61,0.03,3.98005890846252
0.53,0.62,0.02,3.98533749580383
0.53,0.62,0.02,3.98005890846252
0.53,0.62,0.02,3.99061608314514
0.53,0.62,0.02,3.99061608314514
0.53,0.61,0.02,3.99061608314514
0.54,0.61,0.02,3.99061608314514
0.53,0.62,0.03,3.98533749580383
0.53,0.62,0.03,3.98005890846252
0.53,0.62,0.02,3.98005890846252
0.53,0.61,0.03,3.98533749580383
0.53,0.61,0.03,3.98533749580383
0.53,0.61,0.02,3.98533749580383
0.53,0.61,0.02,3.99061608314514
0.52,0.61,0.02,3.99589467048645
0.52,0.61,0.02,3.99061608314514
0.51,0.61,0.02,3.99061608314514
0.52,0.61,0.01,3.98533749580383
0.52,0.61,0.01,3.98005890846252
0.51,0.62,0.01,3.98005890846252
0.51,0.61,0.02,3.98005890846252
0.51,0.61,0.02,3.98533749580383
0.51,0.61,0.02,3.98533749580383
0.51,0.62,0.02,3.99061608314514
0.51,0.62,0.03,3.99061608314514
0.51,0.61,0.03,3.99061608314514
0.51,0.61,0.03,3.98533749580383
0.51,0.61,0.03,3.98005890846252
0.51,0.61,0.04,3.98005890846252
0.52,0.62,0.03,3.98005890846252
0.52,0.61,0.03,3.98005890846252
0.52,0.62,0.03,3.98005890846252
0.52,0.61,0.04,3.98533749580383
0.52,0.6,0.04,3.99061608314514
0.52,0.6,0.04,3.99061608314514
0.53,0.61,0.04,3.99061608314514
0.52,0.61,0.03,3.98533749580383
0.52,0.61,0.04,3.98533749580383
0.52,0.61,0.04,3.98005890846252
0.53,0.61,0.03,3.98005890846252
0.53,0.61,0.03,3.98005890846252
0.53,0.62,0.03,3.98533749580383
0.53,0.62,0.03,3.98533749580383
0.54,0.62,0.03,3.98533749580383
0.53,0.62,0.02,3.99061608314514
0.53,0.62,0.02,3.99061608314514
0.53,0.62,0.02,3.99061608314514
0.53,0.62,0.02,3.98533749580383
0.53,0.62,0.02,3.98005890846252
0.54,0.63,0.01,3.98005890846252
0.54,0.63,0.02,3.98005890846252
0.54,0.63,0.01,3.98533749580383
0.55,0.62,0.02,3.98533749580383
0.55,0.62,0.02,3.98533749580383
0.55,0.62,0.03,3.99061608314514
0.55,0.62,0.03,3.99061608314514
0.54,0.63,0.02,3.98533749580383
0.55,0.62,0.03,3.98005890846252
0.55,0.62,0.02,3.98005890846252
0.55,0.62,0.03,3.98005890846252
0.55,0.62,0.03,3.98533749580383
0.54,0.62,0.02,3.98005890846252
0.55,0.62,0.02,3.98533749580383
0.54,0.61,0.02,3.99061608314514
0.54,0.61,0.03,3.99061608314514
0.54,0.61,0.02,3.99061608314514
0.54,0.61,0.03,3.99061608314514
0.54,0.61,0.03,3.98533749580383
0.54,0.61,0.03,3.98005890846252
0.54,0.61,0.03,3.98005890846252
0.54,0.61,0.03,3.98005890846252
0.54,0.61,0.03,3.98533749580383
0.54,0.61,0.03,3.98533749580383
0.54,0.61,0.03,3.98533749580383
0.54,0.62,0.02,3.99061608314514
0.54,0.62,0.02,3.99061608314514
0.54,0.63,0.02,3.99061608314514
0.54,0.63,0.02,3.98533749580383
0.55,0.63,0.02,3.98005890846252
0.55,0.64,0.01,3.98005890846252
0.55,0.64,0.01,3.98533749580383
0.55,0.64,-0.0,3.98533749580383
0.55,0.64,-0.0,3.98533749580383
0.55,0.65,-0.0,3.98533749580383
