x_estimate,y_estimate,z_estimate,battery_voltage
0.44,0.27,0.02,4.09090948104858
0.44,0.27,0.02,4.08563089370728
0.44,0.27,0.02,4.08035230636597
0.44,0.27,0.02,4.08035230636597
0.44,0.26,0.02,4.08563089370728
0.44,0.27,0.02,4.08563089370728
0.44,0.27,0.02,4.09090948104858
0.44,0.26,0.03,4.09090948104858
0.44,0.26,0.03,4.09090948104858
0.44,0.27,0.02,4.09090948104858
0.44,0.27,0.03,4.09090948104858
0.44,0.27,0.02,4.08563089370728
0.45,0.27,0.03,4.08035230636597
0.44,0.27,0.03,4.08035230636597
0.44,0.27,0.03,4.08563089370728
0.44,0.27,0.03,4.08563089370728
0.44,0.26,0.03,4.08563089370728
0.44,0.26,0.03,4.09090948104858
0.44,0.26,0.03,4.09618806838989
0.44,0.26,0.03,4.09090948104858
0.44,0.26,0.03,4.08563089370728
0.44,0.26,0.02,4.08035230636597
0.44,0.26,0.02,4.08035230636597
0.44,0.26,0.02,4.08035230636597
0.44,0.27,0.02,4.08035230636597
0.43,0.27,0.02,4.08563089370728
0.44,0.27,0.02,4.09090948104858
0.44,0.27,0.02,4.09618806838989
0.44,0.26,0.02,4.09090948104858
0.44,0.26,0.02,4.09090948104858
0.44,0.26,0.02,4.08563089370728
0.44,0.26,0.02,4.08563089370728
0.44,0.27,0.03,4.08035230636597
0.44,0.26,0.02,4.08035230636597
0.44,0.26,0.02,4.08035230636597
0.44,0.26,0.03,4.08563089370728
0.44,0.26,0.03,4.09090948104858
0.44,0.26,0.03,4.09090948104858
0.44,0.25,0.03,4.09090948104858
0.45,0.25,0.03,4.09090948104858
0.44,0.25,0.03,4.09090948104858
0.45,0.25,0.03,4.08563089370728
0.44,0.25,0.03,4.08035230636597
0.44,0.25,0.03,4.08035230636597
0.44,0.25,0.03,4.08563089370728
0.44,0.25,0.03,4.09090948104858
0.44,0.25,0.04,4.09090948104858
0.44,0.25,0.04,4.09090948104858
0.44,0.24,0.03,4.09618806838989
0.44,0.24,0.04,4.09090948104858
0.44,0.24,0.03,4.08563089370728
0.44,0.25,0.03,4.08035230636597
0.44,0.25,0.04,4.08035230636597
0.44,0.24,0.03,4.08035230636597
0.44,0.25,0.04,4.08563089370728
0.44,0.25,0.03,4.09090948104858
0.45,0.25,0.03,4.09090948104858
0.44,0.25,0.03,4.09618806838989
0.44,0.25,0.03,4.09618806838989
0.44,0.25,0.03,4.09090948104858
0.44,0.25,0.03,4.09090948104858
0.45,0.25,0.03,4.08563089370728
0.44,0.24,0.03,4.08035230636597
0.44,0.25,0.03,4.08035230636597
0.44,0.25,0.03,4.08563089370728
0.44,0.25,0.03,4.08563089370728
0.45,0.25,0.02,4.09090948104858
0.45,0.24,0.02,4.09090948104858
0.45,0.25,0.02,4.09090948104858
0.44,0.25,0.02,4.09090948104858
0.44,0.25,0.02,4.09090948104858
0.44,0.25,0.03,4.08563089370728
0.44,0.25,0.03,4.08035230636597
0.44,0.25,0.03,4.08035230636597
0.44,0.26,0.03,4.08563089370728
